Game,Finished,Genre,Platform,Release date,Service,Review,GOTY
Amnesia: Bunker,19.1.2025,Horror,Windows,2023,GOG,"A horror game where the horror aspects turn to chores the moment the monster kills you for the first time and you realize you have to redo 15 minutes of gameplay. I feel like this goes in the pile of Frictonal Games that would be great if they would just stop adding monsters. The bunker as an environment is interesting enough without needing a creature to hunt us. Did not finish."
TOEM,1.1.2025,Cute exploration,Windows,2021,GOG,"A cutesy game about a journey to a mountain top where you stop on the way there to help people with random problems. The game is short, but even with that began to feel a bit tiring toward the end. If you liked A Short Hike, this is more of that feel, but with less interesting graphics."
Starsector,23.12.2024,Space exploration,Windows,2013,Other,"Even though this game is not yet finished, it has tons of fun things to do. I particularly liked exploration and the combat. The writing and story is good. I loved the setting. Recommended. The only problem I have with this game is its end game where it currently doesn't have enough things to do. Maybe when the game is properly finished?"
Shadow of Mordor,16.7.2017,3rd person action,Windows,2014,Steam,"I believe I played this game shortly after finishing Dark Souls 1 & 2, and boy was it difficult to get back into a game where you aren't acutely controlling all of your character's animations. The combat in this game was its worst part, which is a shame as I would love to play a game like this with Dark Souls combat. Movement felt restricted, and frequently my button presses resulted in a different action than I had intended. Even at the end of the game I never really felt like I controlled my character properly. It felt like I pressed buttons, and my character took those as recommendations. The nemesis system was cool. Story was eh."
Amnesia: Rebirth,1.4.2024,Horror,Windows,2020,Steam,"Compared to the original Amnesia, the biggest problem with this game was putting too much focus on the player character telling the story and reacting to every little thing. A silent protagonist is, I think, the preferable way to tell a horror story.\n\nThe alien world was visually interesting, but dull in terms of gameplay. I found myself losing interest as the puzzles got more involved, and the story didn't grip me like the original."
Amnesia: The Dark Descent,1.10.2010,Horror,Windows,2010,Retail,"While occasionally suffering from forced jump scares that take control of the camera away, the rest of the game makes up for it. Good story, atmosphere, level design, and puzzles.",GOTY
Thief: The Dark Project,1.1.2011,Stealth,Windows,1998,Retail,"I had a demo of this game back in the day, but never really liked it as a child. When I got into it years later, I was immediately hooked.\n\nThief has its problems with the zombie levels, but that doesn't change the fact that the levels are BONKERS large with so much to find. Exploration, atmosphere, and story are Thief's strongest points, and its combat (or lack thereof on the canonical expert difficulty) is its weakest.\n\nThief is worth your time even today if you can get through the old school jank. You will find a lost jewel in this old title - trust me.",GOTY
Thief 2: The Metal Age,1.1.2011,Stealth,Windows,2000,Retail,"Someone else put it this way: Imagine you played Thief 1 and wrote a letter to the developers pointing out all the things that were off with the first game. Now imagine the devs got that letter and took it to the heart.\n\nWelcome to Thief 2.\n\nZombies are gone, and we're mostly dealing with urban environments with humans (and a few automatons). The levels are more difficult, more detailed, and some (but not all) of the quirks of the engine have been fixed. The story is even better than the first game.\n\nAgain, if you can survive old school jank, Thief 2 is worth your time.",GOTY
Frostpunk,1.4.2023, City building survival,Windows,2018,Steam,"Frostpunk is one of the most intense experiences I've ever had. The soundtrack is a masterpiece. The story, writing, and worldbuilding are all top-notch.\n\nYes, Frostpunk is a -very- good game.",GOTY
The Forgotten City,14.12.2024,Mystery,Windows,2021,GOG,"This game made me grin like an idiot for a good hour at a certain point. The game is almost flawless. The mystery is perfectly paced, answers all the questions, and in a compact time discusses both philosophy and morality in such an organic way that it often felt the game's dialogue choices were exact things I -would- say in that situation.\n\nThe game goes on the shared first place for the best mystery game along with Outer Wilds and Return of Obra Dinn. As is usual for this type of games, don't look up anything before playing the game.",GOTY
Blasphemous,28.11.2024,2D souls-like,Windows,2019,GOG,"Couldn't quite get into this. It's a slowish 2D souls-like metroidvania in style of Salt & Sanctuary. If you liked that, you'll like this."
Quest for Glory 4,12.11.2024,Point & Click adventure,Windows,1993,GOG,"A contender for the best Quest for Glory game with the first one. Requires fan patches due to game's incredibly troubled release. Voice acting was decent, graphics good, puzzles mostly fun, and story great."
The Solus Project,4.11.2024,Exploration survival,Windows,2016,GOG,"Tried this when someone recommended it as being similar to Outer Wilds, but I don't quite see the resemblance. The game is probably fine to those who want to collect a bunch of collectibles and slowly explore somewhat repetitive levels, but I found myself getting bored within the first 6 or so hours."
Dragon's Dogma: Dark Arisen,11.8.2024,RPG,Windows,2012,GOG,"A pretty old-school RPG that plays similarly to MMORPGs with shopping lists of quests. I didn't quite understand the combat or the tactics you're supposed to use, unless tactics refers to abusing the AI and pulling off one enemy at a time. A bit too old-fashioned for my liking as someone who isn't too into role-playing games focusing on combat."
Ghost 1.0,29.7.2024,Platformer,Windows,2018,GOG,"From the same guy who did Unepic. This game shares the same type of humor, but is perhaps more mature about it. The gameplay is solid, but the levels felt pretty lifeless. I later discovered they were generated procedurally during development, and it shows. I liked the story and characters, but hoped the gameplay was deeper."
Return of Obra Dinn,1.7.2024,mystery,Windows,2018,GOG,"One of the best games I've ever played. Go play it now. Don't look up anything about this game - trust me.",GOTY
Warhammer 40k: Dawn of War,28.6.2024,RTS,Windows,2004,GOG,"The missions tend to be entirely linear with no challenge, and usually the best thing to do is turtle back home and build a massive blob, then attack move across the map. Only the last couple of missions are more interesting with an open map and an active AI, but unfortunately the AI is too simple to make the campaign that fun. I like the design of command points and being forced to move out to the map to get more resources, and to hold the strategic sites. This counters turtling gameplay. Unfortunately the lack of challenging AI and linear missions don't quite utilize this mechanic."
The Planet Crafter,6.6.2024,Sandbox survival,Windows,2024,GOG,"A beautiful survival basebuilding game where the planet slowly terraforms right before the player's eyes. The way the map opens up is almost like a metroidvania, and that was definitely the game's strongest point. The game worked well with minimal bugs, I liked the setting, and overall have little to complain about this game. I lost interest around the time I got insects to my world, as the game was mostly just waiting at that point."
Sunless Sea,22.4.2024,Survival exploration,Windows,2015,GOG,"This is a weird one. I love the atmosphere and worldbuilding, yet the gameplay itself is more like a puzzle where the player has to find the optimal way to do things. The early game features entirely too much grinding to be fun, and the combat is too janky to ever become fun."
Suzerain,31.3.2024,Visual novel,Windows,2020,GOG,"Up there as one of the best visual novels I've played, and definitely the one with the most realistic characters. I really cared for my president."
Hardspace: Shipbreakers,16.3.2024,Dad game,Windows,2022,GOG,"The game is strangely satisfying. First you start a shift and see a huge spaceliner waiting for disassembling, and you take a few looks at the ship from all angles while wondering where you're even supposed to begin. Some 2-3 hours later, when you sort the final airlock connector to the right slot and the entire ship has been 99% correctly recycled, that strange feeling of satisfaction is a rare thing to get in games these days. Unfortunately the story was dreadful and didn't add anything to the game. I don't think I found a single bug."
A Short Hike,15.3.2024,Chill adventure,Windows,2019,GOG,"An incredibly positive \'cute game\' about reaching the top of a mountain. This is 2-3 hours of absolute fun."
Hand of Fate 2,18.2.2024,Card game RPG combat,Windows,2017,GOG,"I don't like card games, but I liked Hand of Fate 2. My main issue with the game is the deck building: To survive, you have to prioritize non-combat items (things that modify random die rolls for one) and have to skip combat items. The combat itself is painfully easy and excruciatingly slow. My simple improvement for the game would be to separate non-combat items to their separate deck so the player could have what limited fun can be found in the bad \'Shadow of Mordor\' type combat, if at least so it can be over faster.\n\nGreat atmosphere and characters.\n\nThe campaigns were hit and miss, but I think I enjoyed over half of them."
Grime,26.1.2024,Metroidvania souls-like,Windows,2021,GOG,"This is a solid 2D metroidvania souls-like that has a really strong early game, but becomes more awkward toward the end. I enjoyed the exploration elements, but the late game boss fights featured too much waiting for the boss to do a 20 hit combo before they were vulnerable for a single hit. Great soundtrack."
Canine,1.12.2024,First person horror,Windows,2023,GOG,"A charming indie first person horror game about finding your lost dog. Some parts were slow, but due to the shortness of the game, I didn't particularly mind."
The Excavation of Hob's Barrow,27.12.2023,Point & click,Windows,2022,GOG,"For being produced by Wadjet Eye, this game felt strangely dated. The puzzles involved the worst of the 90s point & click logic, and the overall polish was lacking compared to the better titles out there. The story became strange toward the end. Overall, this would have been a great release 15 years ago, but in 2024 only stands out as average."
Strangeland,23.12.2023,Point & click,Windows,2021,GOG,"The game is mostly exploration of psychological themes and dream-like images. The puzzles were mostly enjoyable, and the story, if it can be called that, was a trip worth having."
Vaporum,23.12.2023,CRPG,Windows,2017,GOG,"This game wasn't for me. The game runs similar to Legend of Grimrock, but has a steampunk aesthetic. If you liked Grimrock, you'll like this."
Whispers of a Machine,23.12.2023,Point & click,Windows,2019,GOG,"A pretty solid point & click adventure that lost my interest toward the end."
Dead Cells,10.12.2023,2D Souls-like,Windows,2018,GOG,"This game involves very fast platforming and combat, but due to its procedurally generated levels, I couldn't find myself really enjoying exploring them. The game runs extremely well and the combat is satisfying."
Darkwood,11.11.2023,Survival horror,Windows,2017,GOG,"A bizarre top-down survival game involving one of the weirdest stories I've encountered in a while. The game is definitely not for everyone, but it was an immediate hit for me. I loved the sense of danger everywhere I went, and the nights came with some of the most intense tension I've seen since Subnautica. Try it and see if it's for you.",GOTY
GRIS,11.11.2023,Platformer,Windows,2018,GOG,"The game is more of a walking simulator, and its platforming elements didn't even really need to be there. This is more of a multimedia experience than a game, or that's how I would have preferred to play this."
Ken Follett's The Pillars of Earth,11.11.2023,Point & click,Windows,2017,GOG,"An extremely well-written point & click adventure with a realistic setting. Great graphics, voice acting, and puzzles. A must play."
The Way,11.11.2023,Platformer,Windows,2016,GOG,"This game is full of sequences that require the player to do steps A, B, C, and D in a highly specific order, and offers no shortcuts for doing them. Backtracking is mandatory, most puzzles are trial and error, and dying is frequent. Shame, as the graphics looked good."
Dredge,25.10.2023,Fishing horror,Windows,2023,GOG,"Amazing atmosphere, good gameplay, but toward the end I found myself tiring of the fishing mechanics. Great soundtrack, a good visual aesthetic, and good use of making the player fear what they don't understand. Recommended.",GOTY,
No Man's Sky,1.6.2023,Sandbox,Windows,2016,GOG,"This is a strange game. It felt like they had created a beautiful universe filled with stuff, but instead of letting the player immerse themselves in exploring it and feeling like they were the first to ever set foot on a planet, they flooded the game with weird mechanics that constantly intruded with the experience. It was as though they did everything in their power to remove any sense of discovery. Definitely not for me."
Deus Ex: Mankind Divided,31.3.2023,FPS,Windows,2016,GOG,"The game felt pretty linear with lots of bugs and too spammy UI. I gave up after maybe 5 hours."
Prey (2017),5.3.2023,FPS RPG,Windows,2017,GOG,"I would likely enjoy Prey if it didn't focus so much on combat. The space station felt mysterious, and I wanted to see what was waiting behind each locked door, but I couldn't quite put myself in the mood when I constantly had to fight monsters. I played perhaps 10 hours before losing interest."
Prey (2006),1.1.2008,FPS,Windows,2006,Retail,"A fun and well-produced traditional first person shooter that makes good use of all three dimensions. The story is suitable for a game involving lots of explosions."
"Biing!: Sex, Intrigue and Scalpels",17.2.2023,Adult,DOSBox,1995,GOG,"This was free on GOG. Yeah."
Tyranny,6.2.2023,RPG,Windows,2016,GOG,"The world and characters seemed well written, yet I found myself disliking the actual gameplay, including the combat."
Factorio,17.12.2022,Factory,Windows,2020,GOG,"Factory must grow. Still the best factory game out there."
Kingdom Come: Deliverance,6.12.2022,RPG,Windows,2018,GOG,"Peasant simulator 2018. The game has fun characters, story, and world, but the combat and general controls felt clumsy. The combat was barely approachable in 1v1 duels, but most of the game's frequent fights are ganks. Unfortunately, I couldn't finish the game due to losing interest in the combat elements."
UBOAT,4.8.2024,Submarine sim,Windows,2024,Steam,"A submarine simulator with focus on crew management. Ironically, I found the crew elements the worst part of the game and sort of hoped for a mod to disable it entirely. The game plays mostly well, but suffers from bugs and lack of content. However, it's currently one of the best submarine simulations out there."
Lords of the Fallen,7.7.2024,Souls-like,Windows,2023,Steam,"A re-imagining of the older game with the same name, Lords of the Fallen is a good and solid souls-like after the various patches have fixed most of the issues. The \'two worlds\' mechanic is interesting, but sometimes is taken too far, especially in boss fights, which often require holding the umbral lamp to destroy parasites while also trying to avoid being hit. The boss fights are a mixed bag, but overall I enjoyed most of them."
Animal Well,23.6.2024,Metroidvania,Windows,2024,Steam,"One of the best metroidvanias I've played in a while. This game shows a story can be told without words. Play it now."
Aliens: Dark Descent,9.6.2024,Topdown tactics,Windows,2023,Steam,"This squad-based Aliens game has a really solid core, and the first two missions are almost flawless. My problems started with 3rd mission and continued to the end as the game had a tendency to take control away from me, move my squad through a door into an unexplored room, where I would be ambushed from all sides. I never understood why this was required at all - all the boss fights or ambushes would have been 100% satisfying if there were no cutscenes at all and the player remained fully in control.\n\nThe story started strong with the whole crashlanding + escape plan setup, but went deep into weird territory with alien-human hybrids, a religious cult worshipping xenos, and unlikely coincidences that somehow involved the commanding officer's daughter. The game would have been a flawless alien game if all the missions had been some repeats of the first two missions where the player slowly salvages equipment to repair the ship, as well as finds the personnel needed to do the repairs, and this leads to tension among the crew, which leads to character development.\n\nThe other huge problem is that the game gives the player a deadline for the escape from the planet, and forces the player to make tough calls such as not running a rescue mission that would delay your departure by 2 days. I made these calls, knowing I wanted to have some spare time in case there were surprises, only for the last mission of the game to have the biggest ludonarrative dissonance I've seen in a long time and jump to the last day of the timer even though I had almost a week left. This happens with everyone on the comms suddenly talking about the 'missiles being on the way' without the player having been told that apparently we somehow just wasted a week doing nothing.\n\nMaybe they'll release an expansion one day?"
The Long Dark,6.4.2024,Survival,Windows,2017,Steam,"This is a solid survival game, but after the first week I found myself asking: \'Yes, and?\' due to the game's lack of further things to do beyond the initial survival. The maps are a mixed bag with some being great, others being miserable.\n\nThis is one of the only games I can think of where I enjoyed inventory management."
Dying Light,12.11.2023,Zombie survival,Windows,2015,Steam,"Railroaded, hand-holdy, story-driven zombie game that constantly interrupts otherwise fine zombie-slaying action to tell the player what to do next. Not for me."
Lies of P,23.9.2023,Souls-like,Windows,2023,Steam,"An extremely well-produced Souls-like with a cool world, story, and combat mechanics. Unfortunately, the dodge / deflect timing is too tight for me, and the boss design is almost entirely favoring unreadable, unpredictable \'loaded spring\' attacks that require memorization instead of the traditional \'observe and understand\' approach of older Dark Souls titles."
Dave the Diver,9.6.2023,Fishing adventure,Windows,2023,Steam,"An absolutely delightful fishing adventure that takes inspiration from parody shows like Yakitate!! Japan. The game was great, but had its low points, namely the entire Sea People arc."
Outer Wilds,3.5.2023,Mystery,Windows,2020,Steam,"One of the best games I've ever played. Don't look up anything about this game - go play it blind. Do it now.",GOTY
Choo-Choo Charles,25.4.2023,Horror,Windows,2022,Steam,"A silly indie horror that looks and plays incredibly well for such a humble production. The game can be played in one or two evenings and feels satisfying all the way through. Occasionally scary, too."
INFRA,26.2.2023,Urban exploration,Windows,2016,Steam,"INFRA is an urban exploration game that involves going to the husks of abandoned infrastructure and photographing various faults and problems discovered within. I loved the first level, but as the game into sewers, caves, or underground, I lost interest. The apartment slum was the worst part of the game."
Iron Lung,5.12.2022,Horror / submarine sim,Windows,2022,Steam,"An extremely terrifying game that accomplish a lot with so little. This is a short game - play it if you don't mind a scary experience."
XCOM: Enemy Unknown,29.10.2022,Tactics,Windows,2012,GOG,"It was alright. Too boardgame-like for my liking. I couldn't play this and not compare it to the original, which I think was better in most ways except the jankiness. This game felt like a series of bad Hollywood action films where your invulnerable heroes save the day, and every mission is some near-miss-disaster where you always race against the lock. The game would be better if it had\n\n1) larger maps where you use a squad of 10-15 soldiers\n\n2) free aim + bullet trajectories\n\n3) more liberal use of explosives\n\n4) less importance on character levels, instead prioritizing equipment and tech\n\n5) all characters able to use all equipment\n\n6) no constant narration from the XO during mission. The game could let me observe the game and make my own decisions instead of constantly interrupting the game to tell me what to do. If I see a new alien on a mission, let me first lose a soldier to it before spoiling me the appropriate tactics for facing it."
Total War: Warhammer,1.10.2022,Strategy,Windows,2022,Steam,"I bought all Warhammer titles at the same time. This is probably the most fun one can have in the Total War series, even though the Shogun 2 probably still has the best designed gameplay. There are so many factions and legendary lords to try that the game is unlikely to get boring for the first 200 hours. Some gameplay issues and bugs and remain, but for a game of this size, they can be excused. The main problem with the game is the price as the full experience requires buying Warhammer 1, 2, and 3, to the total of 180 euros."
Elden Ring,1.4.2022,Souls,Windows,2022,Steam,"It was alright. I didn't like the open world as it the liberal use of fast travel quickly trivialized the feeling of journeying in the world, and the game wasn't designed for not using fast travel. Boss fights didn't feel enjoyable if you prefer playing a melee character, as most bosses used some kind of AOE that forced you to back away or had long combos with difficult-to-time delays and trick attacks. The world was beautiful, and there were a few good bosses, and Caelid was amazing. I'd rank this about the same as Dark Souls 2"
Homeworld: Deserts of Kharak,16.9.2021,RTS,Windows,2016,GOG,"Visually good-looking. Framerate is mostly good, with jittering happening quite often. There's also a lot of bugs, particularly with the user interface and controls. Sometimes the mouse gets stuck in the \'middle mouse button map drag\', and sometimes the controls freeze entirely. Loading times are strangely long for a game of this type.\n\nThere are too many cutscenes, most unskippable. To make matters worse, some cutscenes happen in \'real time\' while the game is playing, but the player's ability to control units is removed for the duration of the cutscene. This means it's possible to lose a whole army because a siege cruiser happened to bombard your troops during the cutscene. Sometimes this gets quite weird, as you can have a dramatic inter-mission cinematics ongoing while the battle progresses in the back and you hear \'Galsian air units inbound!\' over the narrator.\n\nThere's too much dialogue that tells the player what to do as opposed to letting the player make up their own decisions (\'we better not go in that choke point as there's a siege cruiser behind it\'). This is an RTS game where there's no need for strategy, as you're constantly told what to do. It makes me wonder who I'm actually playing as in this game: the general, or someone just pressing buttons for the general?\n\nGame encourages being thorough with salvaging for resources, but often the maps end before you have a chance to clean up every last resource, which comes biting you in the arse later since resources carry from one mission to another. The only way around this is to simply know the map will end once you hit a specific trigger.\n\nMany missions have artificial increase in difficulty (timers, rushing to defend an ally) as opposed to simply letting you complete the mission as your own pace. At the same time, some missions make you think you're in a hurry, but the design is in fact based on scripted triggers that use a poking the bear mechanic, where a huge attack on you happens when you complete a step. In these missions you are better off ignoring the mission objective until you've mined out the map. This makes for a weird mix where the game sort of want you to hurry while encouraging turtling.\n\nSome units are useless the entire game, some become useless when you unlock a better tech. LAVs are never useful, and the tanks become useless when you get railguns. Railguns in turn are trivialized when you get battlecruisers. Missile batteries were never useful as support cruisers have mobile anti air as well, and the baserunner, while cool, serves no purpose when the normal turrets do nothing against late game units and the anti-air is better done by support cruisers. I feel the gameplay took a turn for the worse when cruisers entered the field.\n\nIn regards to the game difficulty, siege cruisers are the only enemy unit that you need to care about in most missions. Luckily, the assistants warn you when on is sighted, and I the gameplay in having to prioritize taking them out immediately. Unfortunately, the AI players keep using poor units late into the game, which sort of trivializes a lot of the second half of the campaign.\n\nThe main carrier has a whole system of gameplay mechanics, but they don't really come into play that much.\n\nFormations, a dear feature of the original homeworld, are gone. Now ordering units to attack to a point clusters them together, which often causes unnecessary casualties due to enemy artillery.\n\nUnits forget their manually chosen targets if the target goes in the fog of war. This most often happens when using aircraft to order an airstrike on a specific unit, and when the aircraft gets in the region, after visuals have been lost, the aircraft picks a new target as opposed to following the earlier orders.\n\nThe story is fine, although the line-by-line writing is subpar. The story doesn't feel completed at the end. When the credits rolled, I was a bit surprised, as I expected one more mission."
Mount & Blade II Bannerlord,28.6.2021,Pirates!,Windows,2021,Steam,"Played after about a year in early access. Has pretty much all features of Warband, but more fleshed out. AI improvements on strategic level are very much welcome, although still not perfect. Combat mechanics could be improved to make formations make more sense. Faster world map movement speed would be welcome. The swinging of weapons and using ranged weapons is satisfying, as is riding. The city & castle management aspects could be more interesting."
Subnautica: Below Zero,28.6.2021,Survival,Windows,2021,Steam,"Less buggy than original, world is interesting, less scary than original, not sure if I liked the addiition of dialogue + NPC characters, segments on land were both annoying and refreshing, didn't complete due to missing a thing in early game and getting tired of the grind for resources"
Enter the Gungeon,30.6.2021,Roguelike,Windows,2016,GOG,"Plays well, fun gameplay, challenging, rewards learning, lots of content. Soundtrack wasn't much to my liking. Doesn't get repetitive for at least the first 100 playthroughs."
Witcher 3,11.6.2021,RPG,Windows,2015,GOG,"Writing, visuals, story, and characters are great, but gameplay gets numb. The part with the baron is great, but after the game gets pretty boring, especially in Skellige. Did not finish at about 50 hours in the game."
